Profile,Mean_Cosine,Median_Cosine,Partido,Estado,total_posts_profile_antes_filtro,total_posts_profile_depois_filtro,num_publicacoes_neste_df
Júlio Cesar,0.10230778314525392,0.002081742444134548,PSD,,441,29,29
Giovani Cherini,0.10227587851723279,1.311145409786654e-05,PL,,1398,110,109
Nely Aquino,0.10226178371154677,-3.573580010171474e-06,PODEMOS,,391,64,64
Ismael,0.10218189370501862,3.809496391815535e-05,PSD,,477,31,31
Amom Mandel,0.10210692450969754,-1.5773008508927944e-06,CIDADANIA,,365,77,77
Célio Studart,0.1020705930995315,1.3239494539465965e-05,PSD,,594,58,58
Jonas Donizette,0.10187642899378235,-1.065541866924034e-05,PSB,,774,110,110
Chris Tonietto,0.10180635517802727,2.1148148478941762e-05,PL,,356,67,67
Maria Arraes,0.10162477717760901,0.0005025874161547483,SOLIDARIEDADE,,358,73,73
Alexandre Leite,0.10113013357394748,1.679620957914953e-05,UNIÃO,,197,23,23
Rogéria Santos,0.10109645472470336,6.847934881593195e-06,REPUBLICANOS,,798,126,126
Delegado Matheus Laiola,0.10100895687375878,1.8117199433440356e-05,UNIÃO,,386,118,118
Ana Paula Lima,0.10098151902943706,0.0004104067955327421,PT,,1781,375,375
Denise Pessôa,0.10071730759113902,0.00016407764196671562,PT,,1076,225,225
Leônidas Cristino,0.10030642827721191,-1.658154590114251e-05,PDT,,345,16,16
Erika Kokay,0.10029016828852814,5.042333270000691e-05,PT,,2026,244,244
Thiago de Joaldo,0.10006192907969168,3.980270732281688e-05,PP,,398,76,76
Chiquinho Brazão,0.0999338502592108,-1.0845333331174214e-07,UNIÃO,,314,76,76
Dr. Frederico,0.09988599669595488,-5.467556036253818e-07,PRD,,194,30,30
Henderson Pinto,0.09967071239085405,5.7499527720812205e-05,MDB,,625,62,62
Laura Carneiro,0.0996157391086727,0.0003868570003235938,PSD,,449,67,67
Eli Borges,0.09930546345979213,0.0008255889610436563,PL,,151,32,32
Luiz Carlos Busato,0.09904452016102505,1.3648569825072634e-05,UNIÃO,,331,32,32
Maurício Carvalho,0.09901373414486056,0.00014930322387355136,UNIÃO,,373,98,98
Marangoni,0.09871866950325166,-5.279530541390732e-06,UNIÃO,,760,197,197
Luciano Alves,0.09863998876790489,-4.7445839103969685e-06,PSD,,215,23,23
Marx Beltrão,0.09844765489716577,0.00030577728983701563,PP,,437,110,110
Felipe Carreras,0.09826458775963272,0.00030254338985905504,PSB,,416,72,72
Marcelo Lima,0.09806682997545756,-1.2854432696366444e-05,PODEMOS,,429,43,43
Tião Medeiros,0.09799430989942386,8.605899750002424e-05,PP,,395,54,54
Lídice da Mata,0.09799167332567915,3.9605967976363246e-05,PSB,,1133,154,154
Rodrigo Estacho,0.09793877085423534,0.00018575837085659262,PSD,,144,8,8
Vitor Lippi,0.09775492241416384,-1.4031966364677507e-05,PSDB,,541,101,101
Dr. Victor Linhalis,0.09758643210171289,0.00044585106770730215,PODEMOS,,364,53,53
Professora Goreth,0.09749648186832767,6.045694837809408e-06,PDT,,993,119,119
Moses Rodrigues,0.09730790038137879,5.975875867073931e-06,UNIÃO,,414,49,49
Leonardo Monteiro,0.09695529015874195,2.16217012330433e-05,PT,,903,156,155
Cezinha de Madureira,0.09655581613301883,-1.871352520607751e-05,PSD,,459,17,17
Dani Cunha,0.09637325526199096,-1.6158165017314527e-05,UNIÃO,,50,16,16
Padre João,0.09634867799311128,0.00011709301519966648,PT,,1418,229,229
Nilto Tatto,0.09631983135999587,0.00010905647576613118,PT,,1046,170,170
Zeca Dirceu,0.09613597496081748,-8.46042106019719e-06,PT,,1230,91,91
Mauricio Marcon,0.0961175480965347,0.00013463350489101089,PODEMOS,,350,30,30
Idilvan Alencar,0.09593930035700923,1.5908970088607057e-05,PDT,,340,68,68
Airton Faleiro,0.09559124949860678,0.00011241831899618332,PT,,1022,141,141
