id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email,dataInicio,dataFim,titulo,codTitulo
74159,https://dadosabertos.camara.leg.br/api/v2/deputados/74159,Odair Cunha ,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,MG,56,https://www.camara.leg.br/internet/deputado/bandep/74159.jpg,,2022-05-25,2023-01-31,2º Secretário,6
159237,https://dadosabertos.camara.leg.br/api/v2/deputados/159237,Assis Carvalho ,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PI,56,https://www.camara.leg.br/internet/deputado/bandep/159237.jpg,,2019-02-01,2020-07-05,4º Suplente de Secretário,12
171617,https://dadosabertos.camara.leg.br/api/v2/deputados/171617,Paulão ,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AL,56,https://www.camara.leg.br/internet/deputado/bandep/171617.jpg,,2020-07-08,2021-02-01,4º Suplente de Secretário,12
204436,https://dadosabertos.camara.leg.br/api/v2/deputados/204436,Isnaldo Bulhões Jr. ,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,AL,56,https://www.camara.leg.br/internet/deputado/bandep/204436.jpg,,2019-02-01,2021-02-01,3º Suplente de Secretário,11
160541,https://dadosabertos.camara.leg.br/api/v2/deputados/160541,Arthur Lira ,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,AL,56,https://www.camara.leg.br/internet/deputado/bandep/160541.jpg,,2021-02-01,2023-01-31,Presidente,1
141428,https://dadosabertos.camara.leg.br/api/v2/deputados/141428,Fábio Faria ,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RN,56,https://www.camara.leg.br/internet/deputado/bandep/141428.jpg,,2019-02-01,2020-06-17,3º Secretário,7
178882,https://dadosabertos.camara.leg.br/api/v2/deputados/178882,André Fufuca ,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MA,56,https://www.camara.leg.br/internet/deputado/bandep/178882.jpg,,2019-02-01,2021-02-01,4º Secretário,8
204428,https://dadosabertos.camara.leg.br/api/v2/deputados/204428,Marília Arraes ,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,PE,56,https://www.camara.leg.br/internet/deputado/bandep/204428.jpg,,2021-02-03,2022-05-23,2º Secretário,6
74585,https://dadosabertos.camara.leg.br/api/v2/deputados/74585,Lincoln Portela ,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MG,56,https://www.camara.leg.br/internet/deputado/bandep/74585.jpg,,2022-05-25,2023-01-31,1º Vice-Presidente,2
178946,https://dadosabertos.camara.leg.br/api/v2/deputados/178946,Soraya Santos ,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/178946.jpg,,2019-02-01,2021-02-01,1º Secretário,5
204506,https://dadosabertos.camara.leg.br/api/v2/deputados/204506,Marcos Pereira ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204506.jpg,,2019-02-01,2021-02-01,1º Vice-Presidente,2
178945,https://dadosabertos.camara.leg.br/api/v2/deputados/178945,Rosangela Gomes ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/178945.jpg,,2021-02-03,2023-01-31,4º Secretário,8
74478,https://dadosabertos.camara.leg.br/api/v2/deputados/74478,Luciano Bivar ,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PE,56,https://www.camara.leg.br/internet/deputado/bandep/74478.jpg,,2019-02-01,2021-02-01,2º Vice-Presidente,3
74478,https://dadosabertos.camara.leg.br/api/v2/deputados/74478,Luciano Bivar ,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PE,56,https://www.camara.leg.br/internet/deputado/bandep/74478.jpg,,2021-02-03,2023-01-31,1º Secretário,5
204357,https://dadosabertos.camara.leg.br/api/v2/deputados/204357,Rose Modesto ,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,MS,56,https://www.camara.leg.br/internet/deputado/bandep/204357.jpg,,2021-02-03,2022-05-23,3º Secretário,7
160545,https://dadosabertos.camara.leg.br/api/v2/deputados/160545,Alexandre Leite ,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.leg.br/internet/deputado/bandep/160545.jpg,,2021-02-03,2023-01-31,3º Suplente de Secretário,11
